Title;Company;Location;Salary;Seniority
Back-end Software Developer;OnTarget Labs, LLC SIA;Latvia;€ 4500 – 6000;Unspecified
Software Developer Lead;OnTarget Labs, LLC SIA;Latvia;€ 6000 – 8000;Senior
PERFORMANCE DATA ENGINEER (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2666 – 3999;Unspecified
Vyr. sistemų architektas (-ė);Registrų centras, VĮ;Vilnius;€ 3520 – 5280;Unspecified
Software Testing Engineer;INTERSURGICAL, UAB;Vilnius;€ 2000 – 3200;Unspecified
IT Administratorius (-ė);Digmatix;Vilnius / Remote;€ 2600 – 3600;Unspecified
Vyr. Programuotojas (-a);"AB ""Kelių priežiūra""";Šiauliai / Remote;€ 3500 – 4500;Unspecified
Vyr. Programuotojas (-a);"AB ""Kelių priežiūra""";Kaunas / Remote;€ 3500 – 4500;Unspecified
Senior JAVA Developer for Pathway team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300;Senior
Verslo analitikas (-ė) Produktų vystymo departamente;Šiaulių bankas, AB;Kaunas / Remote;€ 2500 – 3750;Unspecified
Verslo analitikas (-ė) Produktų vystymo departamente;Šiaulių bankas, AB;Vilnius / Remote;€ 2600 – 3890;Unspecified
Product Owner for Jira and Confluence | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500;Unspecified
IT Support Specialist at 1st Line Employee IT Support | SEB, Vilnius;SEB;Vilnius;€ 1750 – 1900;Unspecified
IT Business Analyst;GetJet Airlines, UAB;Vilnius;€ 2800 – 4130;Unspecified
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis);Inovacijų agentūra, VšĮ;Vilnius / Remote;€ 2500 – 3500;Unspecified
Informacijos centro administratorius (-ė);Westerwijk valdymas, UAB;Klaipėda;€ 1065;Unspecified
Test Automation Engineer (Python);QDev Technologies, UAB;Vilnius / Remote;€ 1900 – 4500;Unspecified
Informacijos saugos vadovas (-ė) (CISO);Modus Automotive;Vilnius;€ 4000 – 7500;Unspecified
Senior Flutter Developer;Watts Lithuania, UAB;Vilnius;€ 5000 – 7000;Senior
.Net developer;Emplonet, UAB;Kaunas;€ 4500 – 6000;Unspecified
Help desk specialistas(-ė);Labdata, UAB;Vilnius / Remote;€ 2100 – 2700;Unspecified
POWER PLATFORM DEVELOPER (F/M/D);Ignitis Group;Vilnius;€ 3121 – 4683;Unspecified
Business Analyst for Visma Idella team;Visma Tech, UAB;Vilnius / Remote;€ 4100 – 5900;Unspecified
Senior Front-end/Full-stack (Angular) Developer for Visma Business NXT team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 7500;Senior
Product Security Specialist;Quadigi, UAB;Vilnius / Remote;€ 3800 – 5600;Unspecified
Business Analyst for Progress OpenEdge Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 3000 – 4200;Unspecified
Android Developer (Junior);Baltic Amadeus, UAB;Kaunas;€ 1100 – 2900;Junior
Entry-level Progress Developer;Present Connection, UAB;Kaunas / Remote;€ 1300;Junior
IT Project Manager (Data Solutions);Baltic Amadeus, UAB;Vilnius / Remote;€ 2450 – 3700;Unspecified
Data Engineer;Baltic Amadeus, UAB;Vilnius / Remote;€ 2500 – 4300;Unspecified
.NET Developer (Junior);Baltic Amadeus, UAB;Vilnius / Remote;€ 1100 – 2900;Junior
Cloud Sales Assistant;Baltic Amadeus, UAB;Vilnius / Remote;€ 1500 – 2200;Unspecified
Cyber Security Consultant;EY;Vilnius;€ 2000 – 2700;Unspecified
Skaitmenintojas (-a) Vilniaus universiteto bibliotekoje;Vilniaus universitetas;Vilnius;€ 1300 – 1550;Unspecified
IT aptarnavimo specialistas (-ė);Vilniaus Gedimino technikos universitetas/VILNIUS TECH;Vilnius;€ 1952;Unspecified
Software Engineer (Java);Cognizant Lietuva;Vilnius / Remote;€ 3240 – 3810;Unspecified
Praktikantas (-ė) IT paslaugų valdymo srityje;Registrų centras, VĮ;Vilnius;€ 1;Unspecified
IT pirkimų vyr. specialistas (-ė);Registrų centras, VĮ;Vilnius;€ 2376 – 3564;Unspecified
Business Analyst;FL Technics;Vilnius / Remote;€ 2500 – 3500;Unspecified
Duomenų inžinierius(-ė)/Data Engineer;Metso Global Business Services, UAB;Šiauliai;€ 2500 – 3200;Unspecified
AI Engineer;Iki Lietuva, UAB;Vilnius;€ 2560 – 4500;Unspecified
Software Engineer within Digital Solutions Sweden, Customer Channels;"""Swedbank"", AB";Vilnius / Remote;€ 3800 – 5700;Unspecified
Praktikantas (-ė) (Procesų ir veiklos valdymo srityje);Registrų centras, VĮ;Vilnius;€ 1;Unspecified
Verslo sistemų (gamyba, operacijos) savininkas (-ė);People Link, UAB;Vilnius;€ 3000 – 4000;Unspecified
.NET Developer for PlusPort team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 6300;Unspecified
Senior Software Engineer and Team Lead;Cognizant Lietuva;Kaunas / Remote;€ 4950 – 8250;Senior
Software Architect and Team Lead;Cognizant Lietuva;Kaunas / Remote;€ 4950 – 8250;Senior
Senior PHP Developer;Indigroup;Vilnius;€ 5000 – 6000;Senior
Rinkos paslaugų planavimo grupės vadovė (-as);EPSO-G įmonių grupė;Vilnius;€ 4300 – 5000;Unspecified
Ieškome Mid Back-End programuotojo (-os);Emplonet, UAB;Vilnius / Remote;€ 3500 – 5300;Mid
SKAITMENINĖS SAUGOS EKSPERTĖ (-AS) (ATSINAUJINANTI ENERGETIKA);Ignitis Group;Vilnius;€ 4403 – 6604;Unspecified
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!;Mano būstas, UAB;Vilnius;€ 4000 – 5500;Unspecified
AI Engineer;Iki Lietuva, UAB;Vilnius;€ 2560 – 3840;Unspecified
Vyresnysis projektų vadovas(-ė) verslo valdymo sistemų diegime;Digmatix;Vilnius / Remote;€ 3200 – 5500;Unspecified
Java Developer in Account Channels | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
Veiklos analitikas (-ė) (Gyventojų registras);Registrų centras, VĮ;Vilnius;€ 2175 – 3262;Unspecified
Business Analyst;BAA Training;Vilnius / Remote;€ 3306 – 3967;Unspecified
Head of Information Security for European Markets;Nasdaq Vilnius Services, UAB;Vilnius;€ 7500 – 10000;Senior
Pozicijos pavadinimas, rodomas skelbimuose;Lietuvos draudimas, AB;Vilnius;€ 2500 – 4500;Unspecified
Mid Quality Assurance Engineer;StrongPoint, UAB;Vilnius;€ 2630 – 3945;Mid
Klinikinis modeliuotojas – veiklos procesų analitikas;UAB Varutis;Kaunas;€ 3300 – 4800;Unspecified
Senior / Lead DevOps;Planner5D, UAB;Vilnius;€ 5000 – 7500;Senior
Experienced Brand and Web Designer;Wix.com, UAB;Vilnius;€ 3000 – 5500;Unspecified
Talent Acquisition (TA) Partner;Wix.com, UAB;Vilnius;€ 2500 – 3400;Unspecified
Experienced Talent Acquisition (TA) Partner;Wix.com, UAB;Vilnius;€ 3200 – 4100;Unspecified
Frontend Software Engineer;Wix.com, UAB;Vilnius;€ 3000 – 7000;Unspecified
Senior Frontend Engineer - Functions & Members Area;Wix.com, UAB;Vilnius;€ 4500 – 8000;Senior
Frontend Engineer - Vilnius CTO Team;Wix.com, UAB;Vilnius;€ 4000 – 8000;Unspecified
Frontend Engineer - Rich Content;Wix.com, UAB;Vilnius;€ 4500 – 7000;Unspecified
QA Specialist (Part-Time/Freelance);Locatory.com;Vilnius;€ 18/h;Unspecified
Senior Service Owner;QDev Technologies, UAB;Vilnius / Remote;€ 3500 – 4500;Senior
Software Engineer;GetJet Airlines, UAB;Vilnius;€ 2500 – 5000;Unspecified
Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550;Senior
DevOps specialist seeking new digital challenges | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
.NET Programuotojas (-a);People Link, UAB;Alytus;€ 3300 – 3600;Unspecified
IT projektų vadovas – veiklos procesų analitikas;UAB Varutis;Kaunas;€ 3500 – 5000;Unspecified
Tinklo inžinierius (-ė);Kauno technologijos universitetas;Kaunas;€ 2600 – 2925;Unspecified
AI Engineer;EY;Vilnius / Remote;€ 2400 – 4000;Unspecified
Senior Technical Project Manager;Nasdaq Vilnius Services, UAB;Vilnius;€ 3600 – 4100;Senior
Summer Internship in Data;Luminor Bank, AB;Vilnius / Remote;€ 1050;Junior
IT PROJECT PORTFOLIO ANALYST (F/M/D);Ignitis Group;Vilnius;€ 3757 – 5635;Unspecified
