Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
IT System Administrator;Avia Solutions Group;Vilnius / Remote;€ 3100 – 4200;N/A;5 days ago;2025.06.06;3+ years of professional experience in IT infrastructure management, SaaS applications, and BAU (Business as Usual) operations., Strong knowledge of Active Directory, Azure AD (Entra ID) and Microsoft Intune., Understanding of IT security principles, including identity management, SSO, MFA, and Conditional Access., Experience with managing and automating tasks within cloud environments, specifically Azure, including implementing automation processes with tools like Terraform, configuring virtual machines, managing resource tagging strategies, and optimizing network configurations., Strong analytical skills, task prioritization, and time management abilities., Knowledge of advanced Azure setups, enterprise-level security frameworks, Privileged Access Management (PAM), DevOps workflows, or Infrastructure-as-a-Service methodologies., Experience with physical hardware., Skills in Atlassian products, Zabbix monitoring, Ivanti ticketing systems, and Veeam backups., Experience with Terraform.;https://www.cvonline.lt/en/vacancy/1367281/avia-solutions-group/it-system-administrator
Helpdesk Team Lead in Lithuania;ASTRAL Executive Search SIA;Vilnius;€ 3300;Senior;5 days ago;2025.06.06;N/A;https://www.cvonline.lt/en/vacancy/1367247/astral-executive-search-sia/helpdesk-team-lead-in-lithuania
IT ir kibernetinio saugumo koordinatorius (-ė);People Link, UAB;Vilnius;€ 2500 – 3600;N/A;5 days ago;2025.06.06;N/A;https://www.cvonline.lt/en/vacancy/1367245/people-link-uab/it-ir-kibernetinio-saugumo-koordinatorius
AI Engineer;Iki Lietuva, UAB;Vilnius;€ 2560 – 4500;N/A;5 days ago;2025.06.04;Develop AI-powered applications to efficiently search and retrieve internal company data, policies, and reports, enhancing organizational knowledge management and accessibility, Experience in developing and implementing AI solutions, Proficiency in SQL (experience with Google's BigQuery considered an advantage), Familiarity with Git (bonus points for knowledge of Gitlab CI/CD), Basic understanding of data engineering concepts, including data pipelines, data integration, and data warehousing;https://www.cvonline.lt/en/vacancy/1367116/iki-lietuva-uab/ai-engineer
Sistemų administratorius (-ė) (KDV priežiūrai);Registrų centras, VĮ;Vilnius;€ 1789 – 2683;N/A;5 days ago;2025.06.01;N/A;https://www.cvonline.lt/en/vacancy/1367060/registr-centras-v/sistem-administratorius-kdv-prieziurai
Technical Support Specialist (German);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700;N/A;5 days ago;2025.06.06;Strong IT user skills (MS Office, SAP, Intranet, remote maintenance tools, etc.), Strong IT skills (MS OS, MS SharePoint, MS Server OS, MS SQL Server, cyber security, etc.), Understanding of the basics of e-health, data security and related topics, Up-to-date knowledge of IT and digitalization, Very good communication in German + English skills written and spoken., Online and offline training/workshops and other knowledge-sharing possibilities;https://www.cvonline.lt/en/vacancy/1367040/qdev-technologies-uab/technical-support-specialist-german
Įmonės direktorius (-ė) (IT paslaugas teikianti įmonė);Personalo valdymo inovacijos, UAB;Vilnius;€ 8265 – 10744;N/A;Renewed 5 days ago;2025.05.23;N/A;https://www.cvonline.lt/en/vacancy/1360283/personalo-valdymo-inovacijos-uab/mon-s-direktorius-it-paslaugas-teikianti-mon
Java Internship;Coherent Solutions, UAB;Vilnius / Remote;€ 1;Junior;6 days ago;2025.06.05;"can demonstrate the basic knowledge of programming and algorithms (Java 11-17, MySQL/ PostgreSQL);, have knowledge of basic concepts of Object Oriented Programming (OOP);, have logical thinking reasoning skills;";https://www.cvonline.lt/en/vacancy/1366138/coherent-solutions-uab/java-internship
IT pardavimų vadybininkas (-ė) (B2B);Amston klientas;Vilnius;€ 2800 – 2930;N/A;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366457/amston-klientas/it-pardavim-vadybininkas-b2b
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588;N/A;6 days ago;2025.06.05;N/A;https://www.cvonline.lt/en/vacancy/1366443/klaip-dos-valstybin-kolegija/d-stytojas
