Title;Company;Location;Salary;Seniority;Published;Expires;Skills
Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 2500 – 4000;N/A;16 days ago;2025.05.30;go, ai, ci/cd
Senior Backend Engineer – CTO Group;Wix.com, UAB;Vilnius;€ 5000 – 8000;Senior;16 days ago;2025.05.30;java, node.js
Senior Data Platform Engineer for Data Platform Tribe;Danske Bank Lithuania;Vilnius;€ 4160 – 6240;Senior;16 days ago;2025.05.28;python, java, aws, devops
Senior IT Software Engineer;Danske Bank Lithuania;Vilnius;€ 4480 – 6720;Senior;16 days ago;2025.05.28;sql, aws
IT Platform Engineer within Data Management Support;Danske Bank Lithuania;Vilnius;€ 3280 – 4920;N/A;16 days ago;2025.05.28;aws, azure, terraform, ci/cd, git, linux
Lead Site Reliability Engineer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550;Senior;17 days ago;2025.06.15;N/A
Software Engineer (Java);Cognizant Lietuva;Vilnius / Remote;€ 3240 – 3810;N/A;17 days ago;2025.05.29;N/A
Senior Data Scientist for Data Validation Team;Danske Bank Lithuania;Vilnius;€ 3440 – 5160;Senior;17 days ago;2025.05.20;python, sql
IT pirkimų vyr. specialistas (-ė);Registrų centras, VĮ;Vilnius;€ 2376 – 3564;N/A;17 days ago;2025.05.29;N/A
Senior .NET Software Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;17 days ago;2025.05.20;go, react, docker, aws, azure, terraform, ai, ci/cd
Data Engineering Intern;Littelfuse LT;Kaunas;€ 1200 – 1400;Junior;17 days ago;2025.05.29;sql, ai
IT Security Intern;Littelfuse LT;Kaunas;€ 1200 – 1400;Junior;17 days ago;2025.05.29;ai
Product Engineer;AS Inbank filialas;Vilnius;€ 3000 – 5000;N/A;17 days ago;2025.05.29;sql
Chief DevOps Specialist for SDLC and Standards;Danske Bank Lithuania;Vilnius;€ 5600 – 8399;N/A;17 days ago;2025.05.28;docker, kubernetes, aws, azure, gcp, terraform, ansible, ai, devops, ci/cd, git, github, linux
Produkto savininkas (-ė) (turintis (-i) pavaldžių žmonių);Emplonet, UAB;Vilnius;€ 2708 – 4062;N/A;17 days ago;2025.05.29;N/A
Business Analyst;FL Technics;Vilnius / Remote;€ 3300 – 3650;N/A;17 days ago;2025.05.30;agile
Microsoft D365 Finansų/SCM sprendimų konsultantas;GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958;N/A;17 days ago;2025.05.29;N/A
Konsultantas (-ė) - CRM (Senior);GO-ERP, UAB;Vilnius / Remote;€ 2000 – 4000;Senior;17 days ago;2025.05.29;N/A
Microsoft Dynamics Business Central konsultantas (-ė);GO-ERP, UAB;Vilnius / Remote;€ 3305 – 4958;N/A;17 days ago;2025.05.29;N/A
MS SQL Solution Developer in Finance Tribe | SEB, Vilnius;SEB;Vilnius;€ 2850 – 5450;N/A;18 days ago;2025.06.15;N/A
Projektų vadovas/inžinierius;Ortho Baltic, UAB;Kaunas;€ 2500 – 3000;N/A;18 days ago;2025.05.28;N/A
Data Analytics Intern;Continental Tires Business Services, UAB;Kaunas;€ 1160;Junior;18 days ago;2025.05.28;python, go, sql
IT sprendimų vadovė (-as);Regitra, AB;Vilnius;€ 2350 – 3000;N/A;18 days ago;2025.05.28;N/A
Linux System Administrator;EUROAPOTHECA, UAB;Vilnius;€ 3500 – 4400;N/A;18 days ago;2025.05.28;go, sql, mysql, postgresql, docker, kubernetes, ansible, ai, linux, vpn
Marketing Manager;Digmatix;Vilnius / Remote;€ 3000 – 3500;N/A;18 days ago;2025.05.28;ai, git
Senior Software Engineer (Gen AI);Moody's;Vilnius;€ 5200 – 8300;Senior;18 days ago;2025.05.28;python, java, javascript, go, sql, nosql, mysql, postgresql, html, css, react, angular, django, flask, docker, aws, azure, gcp, ai, devops, git, unix
Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 3000 – 4000;N/A;18 days ago;2025.05.28;sql, spark
Duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;18 days ago;2025.05.19;N/A
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;18 days ago;2025.05.19;N/A
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;18 days ago;2025.05.19;N/A
Full-Stack Java Developer;Indigroup;Vilnius / Remote;€ 3500 – 5900;N/A;18 days ago;2025.05.28;N/A
Senior PHP Developer;Indigroup;Vilnius;€ 5000 – 6000;Senior;18 days ago;2025.05.28;N/A
IT sistemų analitikas (-ė);City Service, UAB;Vilnius;€ 1800 – 3300;N/A;18 days ago;2025.05.28;N/A
