Title;Company;Location;Salary
Data Engineer in Transaction Analysis and Models Squad;Danske Bank Lithuania;Vilnius;€ 3440 – 5160
Senior iOS Engineer;Danske Bank Lithuania;Vilnius;€ 4320 – 6480
Senior Security Windows Server technician | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500
Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250
Junior System Administrator;Quadigi, UAB;Vilnius;€ 2000 – 2800
IT PAGALBOS KONSULTANTAS (-Ė);MAXIMA;Vilnius;€ 1200 – 1399
Sales Manager;Ridango AS;Lithuania;€ 3300 – 4400
Database Administrator;BIGBANK AS filialas;Vilnius / Remote;€ 3900 – 7768
DevOps Engineer for Hubble team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 6300
Senior Cloud Platform Engineer;Danske Bank Lithuania;Vilnius;€ 4560 – 6840
Intermediate Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 2400 – 3000
Junior Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 1800 – 2300
IT architektas (-ė);UAB ILTE;Vilnius;€ 5000 – 7300
PORTFOLIO MANAGER (F/M/D);Ignitis Group;Vilnius;€ 3267 – 4900
IT Site Support Engineer;Viltechmeda, UAB;Vilnius;€ 3000 – 3800
Junior Java Developer in Customer Lifecycle Managment team | SEB, Vilnius;SEB;Vilnius;€ 2300 – 3500
Analitikas (-ė) | Informacinių sistemų skyrius;CENTRINĖ PROJEKTŲ VALDYMO AGENTŪRA VŠĮ;Vilnius / Remote;€ 2071 – 2589
Senior Solution Architect for Platform and Data Squad in Workflow Enablement Tribe;Danske Bank Lithuania;Vilnius;€ 5600 – 8400
Software Engineer;BIGBANK AS filialas;Vilnius / Remote;€ 3700 – 4500
Senior Java Engineer in Advisory, Org data and Groups;Danske Bank Lithuania;Vilnius;€ 4560 – 6840
Tech Architect;ERGO Insurance SE Lietuvos filialas;Vilnius / Remote;€ 4500 – 5500
Product Designer;Eleving Group;Vilnius / Remote;€ 2500 – 3000
Senior Risk Analyst;Eleving Group;Vilnius / Remote;€ 2600 – 3500
.NET Developer for Flyt Health Care team;Visma Tech, UAB;Kaunas / Remote;€ 2800 – 3500
Programinių sistemų testuotojas (-a);People Link, UAB;Vilnius;€ 2000 – 3000
Salesforce Administrator;Emplonet, UAB;Vilnius;€ 2500 – 3500
Senior Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 4708 – 6416
Principal Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 4895 – 8000
AI Engineer;Emplonet, UAB;Kaunas;€ 5800 – 7500
Java Developer for Business to Government Unit;Baltic Amadeus, UAB;Vilnius;€ 2600 – 4500
Salesforce Developer;Emplonet, UAB;Vilnius;€ 3500 – 4500
Full-stack (.NET/Angular) Developer for Visma Business NXT team;Visma Tech, UAB;Vilnius / Remote;€ 3600 – 5000
IT administratorius (-ė);Laisvas ir nepriklausomas kanalas, UAB;Vilnius;€ 2200 – 2700
Back-End Software developer (Java);Emplonet, UAB;Kaunas;€ 4600 – 5500
Head of Marketing And Communications;Indigroup;Vilnius;€ 4500 – 5000
IT system architect (Oracle);Emplonet, UAB;Vilnius;€ 5000 – 5700
Senior backend Oracle PL/SQL developer;Emplonet, UAB;Vilnius;€ 3800 – 5200
Senior Java developer;Emplonet, UAB;Vilnius;€ 3800 – 5200
Dynamics 365 Business Central programuotojas (-a);Digmatix;Vilnius / Remote;€ 2200 – 5500
.NET Developer for Idella team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5500
Informacinių sistemų administratorius (-ė);Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos;Kaunas;€ 1600 – 2400
Informacinių sistemų analitikas (-ė);Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos;Kaunas;€ 1900 – 3500
Test Automation Engineer (C++);Quadigi, UAB;Vilnius;€ 2500 – 5000
Test Automation Engineer (Python);Quadigi, UAB;Vilnius;€ 2300 – 5000
Ruby on Rails Developer;1stopVAT, UAB;Vilnius / Remote;€ 5000 – 7000
JAVA programuotojas (-a);Lietuvos paštas, AB;Vilnius / Remote;€ 4500 – 4950
Manual Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2000 – 4000
Automated Quality Assurance Engineer;People Link, UAB;Kaunas;€ 2500 – 5000
IT analitikas (-ė);Vilniaus šilumos tinklai, AB;Lithuania;€ 2300 – 3445
MS Dynamics NAV/ Business Central Developer;EUROAPOTHECA, UAB;Vilnius;€ 3000 – 4200
IOS Developer;abz.agency®;Vilnius;€ 8.5 – 14/h
Front-end developer (React, Vue);abz.agency®;Vilnius;€ 5 – 8.8/h
Ieškome IT analitiko (-ės) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 2000 – 3000
Ieškome testuotojo (-os) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 1800 – 2700
Ieškome Sistemos (produkto) savininko(-ės) Vilniuje;Valstybinio socialinio draudimo fondo valdyba prie Socialines apsaugos ir darbo ministerijos;Vilnius / Remote;€ 2300 – 3500
Technical Support Specialist (Azure Cloud);QDev Technologies, UAB;Vilnius;€ 3100 – 4000
IT TESTUOTOJA (-AS);Ignitis Group;Vilnius / Remote;€ 3121 – 4683
Finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 3000 – 3800
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a);UAB ILTE;Vilnius;€ 4000 – 4800
Unit Manager for the Omnichannel Unit;Baltic Amadeus, UAB;Vilnius;€ 6000 – 9000
Service Delivery Manager (IT Network company);People Link, UAB;Vilnius;€ 3500 – 5000
Data Analyst for Risk & Procurement team;Visma Tech, UAB;Vilnius / Remote;€ 2800 – 5000
Junior Data Management Consultant;EY;Vilnius / Remote;€ 2000 – 2700
Verslo aplikacijų ekspertė (-as);LTG;Vilnius;€ 2980 – 4470
Vyr. Duomenų mokslininkas (-ė);Registrų centras, VĮ;Vilnius / Remote;€ 3520 – 5280
Senior Engineer in Internal Identity and Access Management | SEB, Vilnius;SEB;Vilnius;€ 3000 – 4500
Software Developer;Nasdaq Vilnius Services, UAB;Vilnius;€ 3700 – 4700
Vyr. Programuotojas (-a);BnP Finance, UAB;Vilnius;€ 4000 – 5000
Intern in Data Unit (summer internship);If P&C Insurance AS filialas;Vilnius;€ 1100
QA Engineer (Omni+ Unit);Baltic Amadeus, UAB;Vilnius / Remote;€ 2200 – 3310
QA Engineer (Junior);Baltic Amadeus, UAB;Vilnius / Remote;€ 1100 – 2200
PHP Developer (Junior);Baltic Amadeus, UAB;Vilnius / Remote;€ 1100 – 2900
IT Product manager;CV-Online klientas;Kaunas;€ 4000 – 5000
Back-End Developer (AI implementation);Emplonet, UAB;Vilnius;€ 4000 – 6000
IT specialistas;Karoliniškių poliklinika VŠĮ;Vilnius;€ 2740
IS specialistas I Technologijų skyrius;CENTRINĖ PROJEKTŲ VALDYMO AGENTŪRA VŠĮ;Vilnius / Remote;€ 2374 – 2963
Technologijų vadovas (-ė) (Microsoft produktams);Registrų centras, VĮ;Vilnius;€ 3520 – 5280
Senior recruiter - Regional coordinator;Digmatix;Vilnius / Remote;€ 3000 – 4000
IT Business Analyst;EUROAPOTHECA, UAB;Vilnius;€ 2800 – 3800
System Developer (RPA);Cognizant Lietuva;Vilnius;€ 3500 – 4420
Vyr. analitikas (-ė);Inovacijų agentūra, VšĮ;Vilnius / Remote;€ 3200 – 3500
IT Architektas (-ė);Kesko Senukai Lithuania, UAB;Kaunas;€ 5000 – 7500
IS pagalbos specialistas(-ė);Vilniaus universiteto ligoninės Santaros klinikos;Vilnius;€ 1800 – 2400
Full stack developer seeking new digital challenges | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250
Java Chapter Lead for Welcoming and Orchestration;Danske Bank Lithuania;Vilnius;€ 5200 – 7800
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2666 – 3999
Business Analyst;FL Technics;Vilnius / Remote;€ 2500 – 3500
