Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
"Pamainos vadovas (-ė), NEMUNO G. 70-16, PANEVĖŽYS","IKI Lietuva, UAB",Panevėžys,1100-1240,1100.0,1240.0,1170.0,140.0,Management,Other
Kokybės vadybininkas,UAB „Kitokia diena“,Klaipėda,1400-2000,1400.0,2000.0,1700.0,600.0,QA & Testing,Other
PARDAVIMŲ INŽINIERIUS,PART OF UMEGA GROUP,Ukmergė,From 2100,2100.0,,2100.0,0.0,Sales & Customer Service,Other
Inžinierius projektuotojas (PV Design Engineer),UAB „Detra Solar“,Vilnius,From 2400,2400.0,,2400.0,0.0,Design & UI/UX,Other
GAMYBOS PARUOŠIMO INŽINIERIUS,PART OF UMEGA GROUP,Ukmergė,From 2000,2000.0,,2000.0,0.0,Manufacturing & Production,Other
"PARDAVĖJA (-AS) - KONSULTANTĖ (-AS) (KAUNAS, AKROPOLIS)",UAB „Fliis Trade“,Kaunas,1100-2100,1100.0,2100.0,1600.0,1000.0,Sales & Customer Service,Other
"Kasininkas (-ė) - pardavėjas (-a), CHEMIKŲ G. 1-1, JONAVA","IKI Lietuva, UAB",Jonava,1050-1165,1050.0,1165.0,1107.5,115.0,Retail,Other
Elektrikas - Inžinierius - Mechanikas,UAB „Vilniaus skalbykla“,Vilnius,1500-2500,1500.0,2500.0,2000.0,1000.0,Manufacturing & Production,Other
Sandėlininkas - prekių atrinkėjas Vilniuje,AB „ŽEMAITIJOS PIENAS“,Vilnius,1300,1300.0,,1300.0,0.0,Marketing & Communications,Other
Pardavimų vadybininkas (-ė),UAB „ALWARK“,Vilnius,1500-3000,1500.0,3000.0,2250.0,1500.0,Sales & Customer Service,Other
Aukštalipis (-ė),UAB „Alpinus LT“,Kaunas,1750-2900,1750.0,2900.0,2325.0,1150.0,Other,Other
Kūrybos dizaineris (-ė),AB „ŽEMAITIJOS PIENAS“,Šiauliai,3300-3700,3300.0,3700.0,3500.0,400.0,Design & UI/UX,Other
Kūrybos dizaineris (-ė),AB „ŽEMAITIJOS PIENAS“,Klaipėda,3300-3700,3300.0,3700.0,3500.0,400.0,Design & UI/UX,Other
Gamybos meistras (-ė),UAB „Medienos era“,Kaunas,From 2300,2300.0,,2300.0,0.0,Manufacturing & Production,Other
Kasininkė (-as),UAB „VSGA“,Klaipėda,1250-1400,1250.0,1400.0,1325.0,150.0,Other,Other
Pardavimo vadybininkas (-ė) telefonu pozicija,CITY SERVICE įmonių grupė,Šiauliai,1225-1800,1225.0,1800.0,1512.5,575.0,Sales & Customer Service,Other
PARDAVIMŲ VADYBININKAS (-Ė),UAB „Vlantana“,Vilnius,2500-3500,2500.0,3500.0,3000.0,1000.0,Sales & Customer Service,Other
PARDAVIMŲ VADYBININKAS (-Ė) (ACCOUNT MANAGER),BIOVELA GROUP,Vilnius,2455-2976,2455.0,2976.0,2715.5,521.0,Sales & Customer Service,Other
Marketingo vadybininkė (-as),UAB „Vidara“,Marijampolė,1000,1000.0,,1000.0,0.0,Sales & Customer Service,Other
Padavėja (-as) - pardavėja (-as),UAB „Avetus“,Vilnius,900,900.0,,900.0,0.0,Retail,Other
Išmaniųjų technologijų ekspertas Kaune,UAB „TELE2“,Kaunas,1200-4000,1200.0,4000.0,2600.0,2800.0,Manufacturing & Production,Other
Verslo klientų vadybininkas Kaune (klientų pritraukimas),UAB „TELE2“,Kaunas,1850-3000,1850.0,3000.0,2425.0,1150.0,Sales & Customer Service,Other
Verslo klientų vadybininkas Vilniuje (klientų pritraukimas),UAB „TELE2“,Vilnius,1850-3000,1850.0,3000.0,2425.0,1150.0,Sales & Customer Service,Other
Pardavimų vadybininkas Šilalėje,UAB „TELE2“,Šilalė,1200-4900,1200.0,4900.0,3050.0,3700.0,Sales & Customer Service,Other
Apsaugos darbuotojas (-a) statybos objekte,UAB „Ekskomisarų biuras“,Vilnius,1100-1300,1100.0,1300.0,1200.0,200.0,Security,Other
Apsaugos darbuotojas (-a) statybos objekte,UAB „Ekskomisarų biuras“,Vilnius,1100-1300,1100.0,1300.0,1200.0,200.0,Security,Other
Kebabų ruošėja (-as),UAB „Vydris“,Marijampolė,900-1300,900.0,1300.0,1100.0,400.0,Other,Other
Telemarketingo pardavimų vadybininkas Kaune,UAB „TELE2“,Kaunas,1300-2500,1300.0,2500.0,1900.0,1200.0,Sales & Customer Service,Other
Head of Product Development,UAB „Medicinos linija“,Šiauliai,3300-4500,3300.0,4500.0,3900.0,1200.0,Healthcare & Medical,Senior
Pardavimų komandos vadovas Vilniuje,UAB „TELE2“,Vilnius,2100-4000,2100.0,4000.0,3050.0,1900.0,IT Management,Other
Pardavimų vadybininkas Vilniuje,UAB „TELE2“,Vilnius,1200-4900,1200.0,4900.0,3050.0,3700.0,Sales & Customer Service,Other
Stalius (langų stiklinimas),"ARLANGA wood, UAB",Vilnius,1130-1500,1130.0,1500.0,1315.0,370.0,Other,Other
Verslo skyriaus vyr. specialistas (-ė),UAB „ALISA MANAGEMENT LABORATORY“,Alytus,1700-3000,1700.0,3000.0,2350.0,1300.0,Other,Senior
EKSPEDICIJOS VADYBININKAS,UAB „Truktransa“,Kaunas,1200-5000,1200.0,5000.0,3100.0,3800.0,Sales & Customer Service,Other
PARDAVIMŲ APSKAITOS SKYRIAUS VADOVAS (-Ė),BIOVELA GROUP,Utena,2000-3000,2000.0,3000.0,2500.0,1000.0,Sales & Customer Service,Other
JAUNESNYSIS (-IOJI) ŠVIEŽIOS MĖSOS TECHNOLOGAS (-Ė),BIOVELA GROUP,Utena,1400-1800,1400.0,1800.0,1600.0,400.0,Mobile Development,Junior
Autoelektrikas,UAB „AutoRC“,Šiauliai,From 800,800.0,,800.0,0.0,Other,Other
