Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Customer Support Specialist,MB Lumius,Vilnius,€ 1500 – 2200,Unspecified,1500.0,2200.0,1850.0,700.0,IT Support,Not Specified
IT Architektas (-ė),"Kesko Senukai Lithuania, UAB",Kaunas,€ 5000 – 7500,Unspecified,5000.0,7500.0,6250.0,2500.0,Other,Not Specified
IS pagalbos specialistas(-ė),Vilniaus universiteto ligoninės Santaros klinikos,Vilnius,€ 1800 – 2400,Unspecified,1800.0,2400.0,2100.0,600.0,IT Support,Not Specified
Senior Business Development Manager,"Baltic Amadeus, UAB",Vilnius / Remote,€ 3300 – 5000,Senior,3300.0,5000.0,4150.0,1700.0,Other,Senior
Product Owner (Loyalty System),"EUROAPOTHECA, UAB",Vilnius,€ 3000 – 4500,Unspecified,3000.0,4500.0,3750.0,1500.0,Project Manager/Product Owner,Not Specified
Business consultant,"Emplonet, UAB",Vilnius,€ 4958 – 6611,Unspecified,4958.0,6611.0,5784.5,1653.0,Other,Not Specified
Software developer,"Emplonet, UAB",Kaunas,€ 3750 – 5700,Unspecified,3750.0,5700.0,4725.0,1950.0,Software Developer,Not Specified
Quality Assurance Engineer,"Emplonet, UAB",Kaunas,€ 2455 – 3306,Unspecified,2455.0,3306.0,2880.5,851.0,QA Engineer,Not Specified
Produkto vadovas (-ė),"Emplonet, UAB",Kaunas,€ 3800 – 4000,Unspecified,3800.0,4000.0,3900.0,200.0,Project Manager/Product Owner,Not Specified
Produkto vadovas (-ė),"Emplonet, UAB",Vilnius,€ 3800 – 4000,Unspecified,3800.0,4000.0,3900.0,200.0,Project Manager/Product Owner,Not Specified
Vyr. IS administratorius (-ė),"Emplonet, UAB",Vilnius,€ 3300 – 4500,Unspecified,3300.0,4500.0,3900.0,1200.0,IT Support,Senior
IT projektų specialistas(-ė),"Labdata, UAB",Vilnius / Remote,€ 2400 – 3600,Unspecified,2400.0,3600.0,3000.0,1200.0,Project Manager/Product Owner,Not Specified
Fullstack Software Engineer,"Nasdaq Vilnius Services, UAB",Vilnius,€ 3400 – 4500,Unspecified,3400.0,4500.0,3950.0,1100.0,Full-stack Developer,Not Specified
Veiklos analitikas (-ė) (E-varžytynių ir aukcionų portalas),"Registrų centras, VĮ",Vilnius,€ 2175 – 3263,Unspecified,2175.0,3263.0,2719.0,1088.0,Data Analyst,Not Specified
Produkto vadovas (-ė) (E. sveikata),"Registrų centras, VĮ",Vilnius,€ 2628 – 3942,Unspecified,2628.0,3942.0,3285.0,1314.0,Project Manager/Product Owner,Not Specified
"Back-end Developer (PHP, Laravel)",abz.agency®,Vilnius,€ 8.5 – 11.5/h,Unspecified,1360.0,1840.0,1600.0,3.0,Back-end developer,Not Specified
QA engineer,abz.agency®,Vilnius,€ 4 – 6/h,Unspecified,640.0,960.0,800.0,2.0,QA Engineer,Not Specified
"Solution Architect for AI platforms/IT Expert | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Unspecified,3650.0,5450.0,4550.0,1800.0,Other,Senior
IT Project Manager (Omnichannel),"Baltic Amadeus, UAB",Vilnius / Remote,€ 3000 – 5000,Unspecified,3000.0,5000.0,4000.0,2000.0,Project Manager/Product Owner,Not Specified
Marketing Analytics Engineer @Bioma,Kilo Health - UAB Kilo grupė,Vilnius,€ 3800 – 5100,Unspecified,3800.0,5100.0,4450.0,1300.0,Data Analyst,Not Specified
Technical Support Specialist (German),"QDev Technologies, UAB",Vilnius / Remote,€ 2200 – 2700,Unspecified,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified
"Backend Engineer, Devex Platform","Wix.com, UAB",Vilnius,€ 2500 – 4000,Unspecified,2500.0,4000.0,3250.0,1500.0,Back-end developer,Not Specified
