Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Microsoft D365 Finansų/SCM sprendimų konsultantas,"GO-ERP, UAB",Vilnius / Remote,€ 3305 – 4958,3305.0,4958.0,4131.5,1653.0,Other,Not Specified
Konsultantas (-ė) - CRM (Senior),"GO-ERP, UAB",Vilnius / Remote,€ 2000 – 4000,2000.0,4000.0,3000.0,2000.0,Other,Senior
Microsoft Dynamics Business Central konsultantas (-ė),"GO-ERP, UAB",Vilnius / Remote,€ 3305 – 4958,3305.0,4958.0,4131.5,1653.0,Other,Not Specified
IS analyst-tester,ADB „Gjensidige“,Vilnius,€ 2415 – 3622,2415.0,3622.0,3018.5,1207.0,QA Engineer,Not Specified
"MS SQL Solution Developer in Accounting Tribe | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,Database Admin,Not Specified
Scrum Master/Team Coach,"""Swedbank"", AB",Vilnius,€ 4100 – 6100,4100.0,6100.0,5100.0,2000.0,Other,Not Specified
Projektų vadovas/inžinierius,"Ortho Baltic, UAB",Kaunas,€ 2500 – 3000,2500.0,3000.0,2750.0,500.0,Project Manager/Product Owner,Not Specified
IT sprendimų vadovė (-as),"Regitra, AB",Vilnius,€ 2350 – 3000,2350.0,3000.0,2675.0,650.0,Project Manager/Product Owner,Not Specified
Linux System Administrator,"EUROAPOTHECA, UAB",Vilnius,€ 3500 – 4400,3500.0,4400.0,3950.0,900.0,IT Support,Not Specified
Marketing Manager,Digmatix,Vilnius / Remote,€ 3000 – 3500,3000.0,3500.0,3250.0,500.0,Other,Not Specified
ŽMONIŲ DUOMENŲ ANALITIKĖ (-AS) (TERMINUOTA DARBO SUTARTIS),Ignitis Group,Vilnius,€ 2666 – 3999,2666.0,3999.0,3332.5,1333.0,Data Analyst,Not Specified
Senior Software Engineer (Gen AI),Moody's,Vilnius,€ 5200 – 8300,5200.0,8300.0,6750.0,3100.0,Software Developer,Senior
Data Analyst,Kilo Health - UAB Kilo grupė,Vilnius,€ 3000 – 4000,3000.0,4000.0,3500.0,1000.0,Data Analyst,Not Specified
Duomenų analitikas (-ė),Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,Vilnius / Remote,€ 2200 – 2800,2200.0,2800.0,2500.0,600.0,Data Analyst,Not Specified
Veiklos/duomenų analitikas (-ė),Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,Vilnius / Remote,€ 2200 – 2800,2200.0,2800.0,2500.0,600.0,Data Analyst,Not Specified
Veiklos/duomenų analitikas (-ė),Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,Vilnius / Remote,€ 2200 – 2800,2200.0,2800.0,2500.0,600.0,Data Analyst,Not Specified
Full-Stack Java Developer,Indigroup,Vilnius / Remote,€ 3500 – 5900,3500.0,5900.0,4700.0,2400.0,Java Developer,Not Specified
Senior PHP Developer,Indigroup,Vilnius,€ 5000 – 6000,5000.0,6000.0,5500.0,1000.0,Back-end developer,Senior
IT sistemų analitikas (-ė),"City Service, UAB",Vilnius,€ 1800 – 3300,1800.0,3300.0,2550.0,1500.0,Data Analyst,Not Specified
DI sprendimų architektas (-ė),"City Service, UAB",Vilnius / Remote,€ 5000 – 7500,5000.0,7500.0,6250.0,2500.0,Other,Not Specified
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!,"Mano būstas, UAB",Vilnius,€ 4000 – 5500,4000.0,5500.0,4750.0,1500.0,Data Scientist,Not Specified
Product Security Specialist,"Quadigi, UAB",Vilnius / Remote,€ 3800 – 5600,3800.0,5600.0,4700.0,1800.0,Security,Not Specified
"Workflow Solution Developer in Digital Processing | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,Software Developer,Not Specified
QA Engineer,NRD Companies,Vilnius / Remote,€ 2200 – 3700,2200.0,3700.0,2950.0,1500.0,QA Engineer,Not Specified
.NET programuotojas,NRD Companies,Vilnius / Remote,€ 4000 – 5400,4000.0,5400.0,4700.0,1400.0,.NET Developer,Not Specified
IT specialistas (-ė),Allianz Lietuva gyvybės draudimas UAB,Vilnius,€ 1700 – 2400,1700.0,2400.0,2050.0,700.0,Other,Not Specified
Projekto vadovas (-ė) Duomenų platformų skyriuje,Lietuvos bankas,Vilnius,€ 4016 – 6024,4016.0,6024.0,5020.0,2008.0,Other,Not Specified
Senior Front-End Engineer,Kilo Health - UAB Kilo grupė,Vilnius,€ 5520 – 6000,5520.0,6000.0,5760.0,480.0,Front-end Web developer,Senior
Front-End Engineer,Kilo Health - UAB Kilo grupė,Vilnius,€ 3120 – 4030,3120.0,4030.0,3575.0,910.0,Front-end Web developer,Not Specified
PHP programuotoja (-as),Blue Bridge grupė,Vilnius / Remote,€ 3000 – 4800,3000.0,4800.0,3900.0,1800.0,Back-end developer,Not Specified
Junior Android Developer in the Omnichannel Unit,"Baltic Amadeus, UAB",Kaunas,€ 1100 – 2900,1100.0,2900.0,2000.0,1800.0,Mobile Developer,Junior
Cyber Security Consultant,EY,Vilnius,€ 2000 – 2700,2000.0,2700.0,2350.0,700.0,Security,Not Specified
Full Stack Engineer,"People Link, UAB",Vilnius,€ 4400 – 4900,4400.0,4900.0,4650.0,500.0,Full-stack Developer,Not Specified
IT skaitmenizacijos vadovas (-ė),"Newsec Property Management LT, UAB",Vilnius,€ 4960 – 5785,4960.0,5785.0,5372.5,825.0,Other,Not Specified
"Java developer ready to develop the digital services of tomorrow | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Java Developer,Not Specified
Senior Service (Systems) Owner,"QDev Technologies, UAB",Vilnius / Remote,€ 3500 – 4500,3500.0,4500.0,4000.0,1000.0,Other,Senior
AI Backend Engineer,CV-Online klientas,Kaunas,€ 3200 – 4200,3200.0,4200.0,3700.0,1000.0,Back-end developer,Not Specified
Inžinierius - programuotojas,"TSPI, UAB",Kaunas,€ 3636.36 – 4958.69,3636.36,4958.69,4297.525,1322.3299999999995,Software Developer,Not Specified
AI Front-End Engineer,CV-Online klientas,Kaunas,€ 3000 – 4000,3000.0,4000.0,3500.0,1000.0,Front-end Web developer,Not Specified
Chief Technology Officer (CTO),Eleving Group,Vilnius,€ 6000 – 10000,6000.0,10000.0,8000.0,4000.0,Other,Senior
IT Systems Administrator,Avion Express,Vilnius,€ 3500 – 4100,3500.0,4100.0,3800.0,600.0,IT Support,Not Specified
Tinklo inžinierius (-ė),Kauno technologijos universitetas,Kaunas,€ 2600 – 2925,2600.0,2925.0,2762.5,325.0,Other,Not Specified
Sistemos ekspertė (-as),LTG,Vilnius,€ 2485 – 3725,2485.0,3725.0,3105.0,1240.0,Other,Senior
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga),Noriu personalo sprendimų grupė,Kaunas,€ 2450 – 4100,2450.0,4100.0,3275.0,1650.0,IT Support,Not Specified
Business Analyst - Problem Management,Moody's,Vilnius,€ 3500 – 5600,3500.0,5600.0,4550.0,2100.0,Business Analyst,Not Specified
Business and Functional Specialist in Advisory Overview Squad,Danske Bank Lithuania,Vilnius,€ 2880 – 4320,2880.0,4320.0,3600.0,1440.0,Other,Not Specified
