Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Sistemų analitikas (-ė) GovTech projektams,Alliance for Recruitment,Vilnius,€ 2806 – 3306,2806.0,3306.0,3056.0,500.0,Data Analyst,Not Specified
Security Engineer (SOC Analyst),Alliance for Recruitment,Kaunas,€ 2455 – 3504,2455.0,3504.0,2979.5,1049.0,Security,Not Specified
Sistemų administratorius (-ė),Alliance for Recruitment,Vilnius,€ 3000 – 4500,3000.0,4500.0,3750.0,1500.0,IT Support,Not Specified
Principal Site Reliability Engineer,Alliance for Recruitment,Vilnius,€ 6000 – 7000,6000.0,7000.0,6500.0,1000.0,DevOps,Not Specified
Java Back-end Developer,Alliance for Recruitment,Kaunas,€ 2803 – 5621,2803.0,5621.0,4212.0,2818.0,Back-end developer,Not Specified
Power platform development lead,Alliance for Recruitment,Vilnius,€ 5500 – 6500,5500.0,6500.0,6000.0,1000.0,Other,Senior
Java Solution Developer in Liquidity Risk Team,Alliance for Recruitment,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Java Developer,Not Specified
Įterptinių sistemų programuotojas (-a),Alliance for Recruitment,Vilnius,€ 3000 – 3700,3000.0,3700.0,3350.0,700.0,Embedded Developer,Not Specified
Product Owner (KYC/AML),Alliance for Recruitment,Vilnius,€ 3500 – 6500,3500.0,6500.0,5000.0,3000.0,Project Manager/Product Owner,Not Specified
Full Stack Programuotojas,Alliance for Recruitment,Kaunas,€ 3000 – 4300,3000.0,4300.0,3650.0,1300.0,Full-stack Developer,Not Specified
Senior Software Engineer,"CAST AI Baltic, UAB",Vilnius / Remote,€ 6500 – 9000,6500.0,9000.0,7750.0,2500.0,Software Developer,Senior
Konsultantas (-ė) - CRM (Senior),"GO-ERP, UAB",Vilnius / Remote,€ 2000 – 4000,2000.0,4000.0,3000.0,2000.0,Other,Senior
Microsoft Dynamics Business Central konsultantas (-ė),"GO-ERP, UAB",Vilnius / Remote,€ 3305 – 4958,3305.0,4958.0,4131.5,1653.0,Other,Not Specified
Junior Integration Engineer,"Johnson Matthey Global Business Services Lithuania, UAB",Vilnius,€ 3416 – 4666,3416.0,4666.0,4041.0,1250.0,Other,Junior
.NET Developer,"Yamsoft, UAB",Kaunas / Remote,€ 3000 – 5000,3000.0,5000.0,4000.0,2000.0,.NET Developer,Not Specified
ŽMONIŲ DUOMENŲ ANALITIKĖ (-AS),Ignitis Group,Vilnius,€ 2666 – 3999,2666.0,3999.0,3332.5,1333.0,Data Analyst,Not Specified
HSE Manager,SIA Aerones Engineering,Latvia,€ 3500 – 4000,3500.0,4000.0,3750.0,500.0,Other,Not Specified
Senior Salesforce Developer,Accenture,Vilnius,€ 3600 – 5500,3600.0,5500.0,4550.0,1900.0,Software Developer,Senior
