Title;Company;Location;Salary;Seniority;Published
.NET or .NET + REACT.JS DEVELOPER;UAB „Daviva“;Vilnius;2500-4500;N/A;15 days ago
IT TESTUOTOJA (-AS);Ignitis grupė;Vilnius;N/A;N/A;15 days ago
Engineering Manager;UAB „Kesko Senukai Digital“;Vilnius;6000-6942;N/A;15 days ago
Technical Support Representative;UAB „Xirgo Global“;Kaunas;1250;N/A;15 days ago
Jaunesnysis (-ioji) kibernetinio saugumo ekspertas (-ė);UAB „Adwisery“;Vilnius;1903-2422;N/A;15 days ago
IT palaikymo specialistas (-ė);UAB Mediafon;Vilnius;1800-2200;N/A;15 days ago
.Net programuotojas (.net Developer);UAB Mediafon;Vilnius;3000-3500;N/A;15 days ago
IT Services / Products Sales Project Manager;STFF Stafferty, UAB;Klaipėda;1600-1700;N/A;15 days ago
IT SPECIALISTAS (-Ė) („hardware“ ir „software“);UAB „GTS Transportas“;Kaunas;1200-1500;N/A;15 days ago
Service Delivery Manager (IT Network company);UAB „People Link“;Vilnius;3500-5000;N/A;15 days ago
React Native Developer;UAB „Medical Score“;Vilnius;2800-4000;N/A;15 days ago
Product Data Specialist;UAB „Bison Commerce“;Kaunas;1400-1570;N/A;15 days ago
Junior Data Management Consultant;EY;Vilnius;2000-2700;Junior;15 days ago
Business development manager;UAB „Baltic Ground Services“;Vilnius;From 3500;N/A;15 days ago
Network Engineer;UAB „NKT Lithuania“;Kaunas;3400-5100;N/A;15 days ago
Verslo aplikacijų ekspertė (-as);LTG;Vilnius;2980-4470;N/A;15 days ago
IT onsite inžinierius Kaune;UAB „BTT Group“;Kaunas;1000-1600;N/A;15 days ago
VYR. PHP PROGRAMUOTOJAS (-A);UAB „BnP Finance“;Vilnius;2500-3000;N/A;15 days ago
IS analitikas (-ė);Lietuvos centrinė kredito unija;Kaunas;1900-3250;N/A;15 days ago
Integration Solutions Specialist;UAB „FESTO“;Kaunas;1600-2600;N/A;15 days ago
API Development Specialist;UAB „FESTO“;Kaunas;1600-2600;N/A;15 days ago
VYR. DUOMENŲ MOKSLININKAS (-Ė);Registrų Centras, VĮ;Vilnius;3520-5280;N/A;15 days ago
QUALITY TECHNOLOGIST;UAB „Brolis semiconductors“;Vilnius;1600-2000;N/A;16 days ago
Informacinių technologijų ir ryšių saugumo specialistas (-ė);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;2500-2850;N/A;16 days ago
Data Governance and Architecture Lead;UAB „DPD Lietuva“;Vilnius;5000-7000;Senior;16 days ago
AI Developer;UAB „ENERGUS GROUP“;Vilnius;2000-3000;N/A;16 days ago
Skaitmeninių paslaugų koordinatorius (-ė);Lietuvos Respublikos ryšių reguliavimo tarnyba;Vilnius;2678-3035;N/A;16 days ago
IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė);UAB „Komfovent“;Vilnius;3000-4500;N/A;16 days ago
Sales Engineer/Manager;UAB „I-Photonics“;Vilnius;N/A;N/A;16 days ago
IT PASLAUGŲ (SERVICE DESK) KOMANDOS VADOVAS (-Ė);UAB „PERSONALO SPRENDIMAI“;Vilnius;3424-3835;N/A;16 days ago
BACK-END DEVELOPER (AI IMPLEMENTATION);UAB Emplonet;Vilnius;4000-6000;N/A;16 days ago
Junior PHP programuotojas (-a);UAB „Gedlito transportas“;Klaipėda;1300-1800;Junior;16 days ago
IS specialistas I Technologijų skyrius;VšĮ „Centrinė projektų valdymo agentūra“;Vilnius;2374-2963;N/A;17 days ago
SDL1 IT Inžinierius (-ė);ATEA grupė;Vilnius;1100-1400;N/A;17 days ago
Data Operations Analyst;Oxylabs;Vilnius;1500-2400;N/A;17 days ago
Skaitmeninės infrastruktūros koordinatorius (-ė);UAB „SAULĖS SPEKTRAS“;Vilnius;From 1800;N/A;17 days ago
Manager – Intelligent Automation;Citco Group of Companies;Vilnius;4000-5000;N/A;17 days ago
Test Automation Engineer (Python);UAB „QDev Technologies“;Vilnius;1900-4500;N/A;17 days ago
Quality engineer (medical device registration);UAB „Esco Medical Technologies“;Kaunas;1800-2800;N/A;17 days ago
IT sistemų (Sandėlio valdymo sistemos) priežiūros specialistas (-ė);UAB „Equinox Europe“;Kaunas;1300-2000;N/A;17 days ago
System Developer (RPA);UAB „Cognizant Technology Solutions Lithuania“;Vilnius;3500-4420;N/A;17 days ago
IT projektų vadovas (-ė);VšĮ Lietuvos energetikos agentūra;Vilnius;3000-3700;N/A;17 days ago
JAUNESNYSIS .NET PROGRAMUOTOJAS (-A);ATEA grupė;Šiauliai;1000-1500;N/A;17 days ago
IT specialistas (-ė) (vidinė infrastruktūra ir sistemų priežiūra);Hila;Vilnius;3000-3300;N/A;17 days ago
BUSINESS SYSTEMS ANALYST;UAB „Hollister Lietuva“;Kaunas;2400-3500;N/A;17 days ago
IT Architektas (-ė);UAB „KESKO SENUKAI LITHUANIA“;Kaunas;5000-7500;N/A;17 days ago
Master data analitikas (-ė);„Vičiūnų“ įmonių grupė;Kaunas;3307-4960;N/A;17 days ago
KOMPIUTERIZUOTŲ DARBO VIETŲ PRIEŽIŪROS INŽINIERĖ (-IUS);Ignitis grupė;Vilnius;1755-2632;N/A;6 days left
Automation Engineer;UAB „Lyncis“;Vilnius;3000-3400;N/A;17 days ago
Paslaugų vadovas (-ė);UAB „Novian Technologies“;Vilnius;2455-3306;N/A;18 days ago
QA Engineer (for AI Agent);CyberCare;Vilnius;2500-3900;N/A;19 days ago
Front End Developer (for AI Agent);CyberCare;Vilnius;3200-6300;N/A;19 days ago
Business Analyst;UAB „FL Technics“;Vilnius;3300-3650;N/A;6 days left
Full-stack programuotojas;MB „Kavateka“;Vilnius;From 1500;N/A;20 days ago
Product Support Advisor, German Speaker;UAB „STRATEGIC STAFFING SOLUTIONS INTERNATIONAL“;Vilnius;1643-1933;N/A;20 days ago
IT specialistas;UAB „Klaipėdos terminalo grupė“;Klaipėda;1300-1400;N/A;20 days ago
Lead Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;4500-7500;Senior;20 days ago
QUALITY ASSURANCE ENGINEER;UAB Emplonet;Kaunas;1500-2000;N/A;20 days ago
