Title;Company;Location;Salary;Seniority;Published;Skills
AI / ML Engineer;CyberCare;Vilnius;3300-6000;N/A;7 days ago;python, go, sql, docker, ai, devops, git, linux
KLIENTŲ SĖKMĖS VADOVAS (-Ė)/Digital/IT/Cyber/Advisory;OIXIO, UAB;Vilnius;2800-4000;N/A;7 days ago;go, ai
IT infrastruktūros specialistas (-ė);UAB „BSW Engineering“;Vilnius;2800-3200;N/A;7 days ago;go, ai
Jaunesnysis (-ioji) IS Administratorius (-ė);Telia;Šiauliai;1600-2400;N/A;7 days ago;go, ai
IT administratorius (-ė) (gamybinė įmonė);MB „Human Capital Center“;Kaunas;1300-1600;N/A;7 days ago;go, ai
IT IR KIBERNETINIO SAUGUMO KOORDINATORIUS (-Ė);UAB „People Link“;Kaunas;2500-3600;N/A;7 days ago;go, azure, ai, agile
Product Owner;UAB „Bendras finansavimas“;Vilnius;3000-5000;N/A;8 days ago;go, ai
Software Engineer (Frontend);UAB „Bendras finansavimas“;Vilnius;3000-5000;N/A;8 days ago;php, go, less, react, ai, ci/cd
IT skyriaus vadovas (-ė);UAB koncernas „Achemos grupė“;Klaipėda;2300-2450;N/A;8 days ago;go, ai
AI Engineer;IKI Lietuva, UAB;Vilnius;2560-4500;N/A;8 days ago;python, go, sql, less, ai, tensorflow, pytorch, ci/cd, git, gitlab, agile
Projektų vadovas, diegėjas ar asistentas norintis pradėti karjerą šioje srityje;UAB „Optimalūs projektai“;Kaunas;From 1500;N/A;8 days ago;go, ai
IT Infrastructure Automation & Monitoring Engineer, Spaudos g. 6-1, Vilnius;UAB „RIMI LIETUVA“;Vilnius;2700-4000;N/A;8 days ago;python, ai
PHP developer;UAB „OLYMPIC CASINO GROUP BALTIJA“;Vilnius;2000-4300;N/A;8 days ago;php, go, sql, mysql, agile, scrum
GAMYBOS PROCESŲ IT INŽINIERIUS (-Ė);UAB „Dovaina“;Kaunas;1600-2000;N/A;8 days ago;go, ai
Lead Data Engineer - Internal Audit;„Cencora“;Vilnius;4511-6444;Senior;8 days ago;python, go, sql, ai, cybersecurity
Software engineer (.Net) / Programuotojas-inžinierius (.Net);UAB „Light Conversion“;Vilnius;3500-6500;N/A;8 days ago;python, go, docker, azure, ai, ci/cd, git, github
IT Administrator/Key User;UADBB „GrECo Sagauta“;Vilnius;From 2500;N/A;8 days ago;go, express, ai
Junior Java Developer in Customer Lifecycle Managment team | SEB, Vilnius;SEB;Vilnius;2300-3500;Junior;8 days ago;java, sql, angular, spring, ai, git, github, agile, scrum, kafka
IT engineer;Company name is hidden;Vilnius;N/A;N/A;8 days ago;azure, ai, linux, unix, windows server
AI Automation Engineer;UAB „Medical Score“;Vilnius;3500-6000;N/A;8 days ago;python, java, javascript, go, sql, less, ai, ci/cd, git
Embedded Software Developer;UAB „Light Conversion“;Vilnius;3000-5600;N/A;9 days ago;c++, go, ai
IT inžinierius (-ė);UAB „PKC Group Lithuania“;Klaipėda;1900-2000;N/A;9 days ago;python, go, sql, mysql, ai
IT inžinierius (-ė);UAB „PKC Group Lithuania“;Panevėžys;1900-2000;N/A;9 days ago;python, go, sql, mysql, ai
Cyber Security manager (Group level);RETAL GROUP;Vilnius;4500-4900;N/A;9 days ago;go, express, ai, cybersecurity
Business development manager;UAB „Baltic Ground Services“;Vilnius;From 3500;N/A;9 days ago;go, ai
Embedded Linux programuotojas (-a);UAB „8Devices“;Vilnius;2500-5000;N/A;9 days ago;python, go, ai, linux, tcp/ip
Business Analyst;UAB „FL Technics“;Vilnius;3300-3650;N/A;9 days ago;go, ai, agile
C# programuotojas (-a);UAB „Terra IT“;Kaunas;1100-4000;N/A;9 days ago;java, javascript, c#, sql, html, ai
Senior App Developer;UAB „Platforma LT“;Vilnius;5000-6000;Senior;9 days ago;go, css, angular, docker, azure, ai
CityBee .NET Back-End Developer Mid- Senior (Vilnius or Kaunas);Modus Group;Vilnius;From 4100;Senior;9 days ago;c#, sql, angular, ai, git, rest api
Microsoft Dynamics 365 Business Central PROGRAMUOTOJO (-OS) PRAKTIKA (su galimybe įsidarbinti);OIXIO, UAB;Kaunas;N/A;N/A;9 days ago;azure, ai, devops
